artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userId
Fat Joe,Logged In,Tegan,F,8,Levine,267.10159,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,What's Luv? (Featuring Ja-Rule & Ashanti) (Explicit Album Version),200,1542280000000.0,80.0
Stars,Logged In,Avery,F,10,Watkins,193.33178999999998,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Soft Revolution,200,1542280000000.0,30.0
James Blunt,Logged In,Tegan,F,9,Levine,298.4224,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Same Mistake  (Album Version),200,1542280000000.0,80.0
Mayday Parade,Logged In,Avery,F,11,Watkins,203.28444,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Bruised And Scarred (Album Version),200,1542280000000.0,30.0
Die Mooskirchner,Logged In,Tegan,F,10,Levine,169.29914,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Frisch und g'sund,200,1542280000000.0,80.0
Gorillaz,Logged In,Avery,F,12,Watkins,211.77424,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Rockit,200,1542280000000.0,30.0
,Logged In,Tegan,F,11,Levine,,paid,"Portland-South Portland, ME",GET,Downgrade,1540790000000.0,611,,200,1542280000000.0,80.0
Toby Keith,Logged In,Tegan,F,12,Levine,208.48281,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Should've Been A Cowboy,200,1542280000000.0,80.0
Modest Mouse,Logged In,Avery,F,13,Watkins,284.18567,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Little Motel,200,1542280000000.0,30.0
Future Rock,Logged In,Tegan,F,13,Levine,239.90812000000003,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Gears,200,1542280000000.0,80.0
Noel Pointer,Logged In,Avery,F,14,Watkins,259.7873,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Superwoman (Where Were You When I Needed You) (Digitally Remastered),200,1542280000000.0,30.0
Callenish Circle,Logged In,Tegan,F,14,Levine,226.11546,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Forgotten,200,1542280000000.0,80.0
Foo Fighters,Logged In,Rylan,M,0,George,250.14812,paid,"Birmingham-Hoover, AL",PUT,NextSong,1541020000000.0,575,Everlong,200,1542280000000.0,16.0
Portishead,Logged In,Avery,F,15,Watkins,238.73261000000002,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Hunter,200,1542280000000.0,30.0
Taylor Swift,Logged In,Tegan,F,15,Levine,245.36771000000002,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,The Way I Loved You,200,1542280000000.0,80.0
J-Live,Logged In,Rylan,M,1,George,256.93995,paid,"Birmingham-Hoover, AL",PUT,NextSong,1541020000000.0,575,Longevity,200,1542280000000.0,16.0
The White Stripes,Logged In,Avery,F,16,Watkins,110.47138000000001,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Fell In Love With A Girl,200,1542280000000.0,30.0
Dwight Yoakam,Logged In,Tegan,F,16,Levine,239.3073,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,You're The One,200,1542280000000.0,80.0
The Black Keys,Logged In,Avery,F,17,Watkins,238.99382999999997,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Lies,200,1542280000000.0,30.0
Five,Logged In,Rylan,M,2,George,207.62077,paid,"Birmingham-Hoover, AL",PUT,NextSong,1541020000000.0,575,Got The Feelin',200,1542280000000.0,16.0
,Logged In,Rylan,M,3,George,,paid,"Birmingham-Hoover, AL",GET,Downgrade,1541020000000.0,575,,200,1542280000000.0,16.0
Ra,Logged In,Tegan,F,17,Levine,319.9473,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Do You Call My Name,200,1542280000000.0,80.0
Coolio feat. L.V.,Logged In,Rylan,M,4,George,241.57995,paid,"Birmingham-Hoover, AL",PUT,NextSong,1541020000000.0,575,Gangsta's Paradise (LP Version),200,1542280000000.0,16.0
Paramore,Logged In,Avery,F,18,Watkins,211.51302,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Misery Business (Album Version),200,1542280000000.0,30.0
Leggo Beast,Logged In,Avery,F,19,Watkins,321.93261,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Itchy Feet,200,1542280000000.0,30.0
Nneka,Logged In,Rylan,M,5,George,226.79465,paid,"Birmingham-Hoover, AL",PUT,NextSong,1541020000000.0,575,Gypsy,200,1542280000000.0,16.0
Diam's,Logged In,Tegan,F,18,Levine,250.72281,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Dans Ma Bulle (Edit Radio - Live 2006),200,1542280000000.0,80.0
Haley Bonar,Logged In,Rylan,M,6,George,149.26322,paid,"Birmingham-Hoover, AL",PUT,NextSong,1541020000000.0,575,Give It Up,200,1542280000000.0,16.0
Mansun,Logged In,Tegan,F,19,Levine,140.53832,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Love Remains (Home Demo),200,1542280000000.0,80.0
3 Doors Down,Logged In,Avery,F,20,Watkins,237.13914,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Here Without You,200,1542280000000.0,30.0
The Corrs,Logged In,Rylan,M,7,George,168.07138,paid,"Birmingham-Hoover, AL",PUT,NextSong,1541020000000.0,575,Toss The Feathers (Instrumental) ( LP Version ),200,1542280000000.0,16.0
Big Tymers,Logged In,Tegan,F,20,Levine,197.79873,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Big,200,1542280000000.0,80.0
Thursday,Logged In,Avery,F,21,Watkins,215.37913999999998,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,I Am The Killer (Album Version),200,1542280000000.0,30.0
Motion City Soundtrack,Logged In,Rylan,M,8,George,111.49016,paid,"Birmingham-Hoover, AL",PUT,NextSong,1541020000000.0,575,Don't Call It A Comeback (Album Version),200,1542280000000.0,16.0
,Logged In,Rylan,M,9,George,,paid,"Birmingham-Hoover, AL",GET,Help,1541020000000.0,575,,200,1542280000000.0,16.0
Usher,Logged In,Tegan,F,21,Levine,224.10404,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Hey Daddy (Daddy's Home),200,1542280000000.0,80.0
Juanes,Logged In,Rylan,M,10,George,233.40363,paid,"Birmingham-Hoover, AL",PUT,NextSong,1541020000000.0,575,No Siento Penas,200,1542280000000.0,16.0
The Wombats,Logged In,Avery,F,22,Watkins,164.70158999999998,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Kill The Director [Radio Edit],200,1542280000000.0,30.0
Katy Perry,Logged In,Tegan,F,22,Levine,179.40853,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,I Kissed A Girl,200,1542280000000.0,80.0
As I Lay Dying,Logged In,Rylan,M,11,George,231.78404,paid,"Birmingham-Hoover, AL",PUT,NextSong,1541020000000.0,575,The Darkest Nights,200,1542280000000.0,16.0
BjÃÂ¶rk,Logged In,Avery,F,23,Watkins,348.57751,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Undo,200,1542280000000.0,30.0
The Bobby Fuller Four,Logged In,Tegan,F,23,Levine,138.60526000000002,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,I Fought The Law (LP Version),200,1542280000000.0,80.0
Charly GarcÃÂ­a,Logged In,Rylan,M,12,George,330.89261,paid,"Birmingham-Hoover, AL",PUT,NextSong,1541020000000.0,575,Influencia,200,1542280000000.0,16.0
New Bomb Turks,Logged In,Tegan,F,24,Levine,60.55138,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Too Much,200,1542280000000.0,80.0
The Black Keys,Logged In,Tegan,F,25,Levine,196.91057,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,All Hands Against His Own,200,1542280000000.0,80.0
PeterLicht,Logged In,Avery,F,24,Watkins,305.97179,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Blaues Blau,200,1542280000000.0,30.0
John Mayer,Logged In,Tegan,F,26,Levine,359.23546,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Friends_ Lovers Or Nothing,200,1542280000000.0,80.0
Stone Temple Pilots,Logged In,Rylan,M,13,George,255.32036000000002,paid,"Birmingham-Hoover, AL",PUT,NextSong,1541020000000.0,575,A Song For Sleeping (LP Version),200,1542280000000.0,16.0
Bad Lieutenant,Logged In,Avery,F,25,Watkins,266.84036000000003,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Head Into Tomorrow,200,1542280000000.0,30.0
Lily Allen,Logged In,Rylan,M,14,George,192.49587,paid,"Birmingham-Hoover, AL",PUT,NextSong,1541020000000.0,575,Smile Version Revisited (Mark Ronson Remix) (Explicit),200,1542280000000.0,16.0
Neil Halstead,Logged In,Tegan,F,27,Levine,294.29506000000003,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,A Gentle Heart,200,1542280000000.0,80.0
Juanes,Logged In,Avery,F,26,Watkins,222.37995,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Un DÃÂ­a Normal,200,1542280000000.0,30.0
Distance,Logged In,Rylan,M,15,George,300.87791,paid,"Birmingham-Hoover, AL",PUT,NextSong,1541020000000.0,575,Ska,200,1542280000000.0,16.0
Slipknot,Logged In,Avery,F,27,Watkins,253.98812,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,The Heretic Anthem (Album Version),200,1542280000000.0,30.0
,Logged In,Kaleb,M,0,Cook,,free,"Yuba City, CA",GET,Home,1540680000000.0,560,,200,1542280000000.0,54.0
Franz Ferdinand,Logged In,Tegan,F,28,Levine,137.56036,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Tell Her Tonight,200,1542280000000.0,80.0
Jedi Mind Tricks,Logged In,Rylan,M,16,George,232.88117999999997,paid,"Birmingham-Hoover, AL",PUT,NextSong,1541020000000.0,575,Suicide,200,1542280000000.0,16.0
Miles Davis,Logged In,Tegan,F,29,Levine,285.20444,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Stella By Starlight,200,1542280000000.0,80.0
B.o.B,Logged In,Avery,F,28,Watkins,269.63546,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Nothin' On You [feat. Bruno Mars] (Album Version),200,1542280000000.0,30.0
The Avett Brothers,Logged In,Rylan,M,17,George,300.85179,paid,"Birmingham-Hoover, AL",PUT,NextSong,1541020000000.0,575,I And Love And You,200,1542280000000.0,16.0
Joshua Bell / Paul Coker,Logged In,Tegan,F,30,Levine,275.93098,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Caprice viennois op.2,200,1542280000000.0,80.0
Bad Brains,Logged In,Avery,F,29,Watkins,32.31302,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Joshua's Song (1991 Digital Remaster),200,1542280000000.0,30.0
Shakira ft. Wyclef Jean,Logged In,Avery,F,30,Watkins,215.90159,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Hips Don't Lie,200,1542280000000.0,30.0
Band Of Horses,Logged In,Rylan,M,18,George,321.14893,paid,"Birmingham-Hoover, AL",PUT,NextSong,1541020000000.0,575,The Funeral (Album Version),200,1542280000000.0,16.0
Alesana,Logged In,Tegan,F,31,Levine,185.33831999999998,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Ambrosia,200,1542280000000.0,80.0
Samy Deluxe,Logged In,Avery,F,31,Watkins,236.77342000000002,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Einfach Ich,200,1542280000000.0,30.0
Corona,Logged In,Tegan,F,32,Levine,408.60688999999996,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Higher Messiah,200,1542280000000.0,80.0
The Presets,Logged In,Avery,F,32,Watkins,267.54567000000003,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,If I Know You,200,1542280000000.0,30.0
Pixies,Logged In,Avery,F,33,Watkins,98.92526,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,In Heaven,200,1542280000000.0,30.0
Existone,Logged In,Tegan,F,33,Levine,652.30322,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Wounded Soul,200,1542280000000.0,80.0
John Mayer,Logged In,Avery,F,34,Watkins,258.16771,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Bold As Love,200,1542280000000.0,30.0
Zakir Hussain,Logged In,Avery,F,35,Watkins,722.442,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,The Great ndian Desert,200,1542280000000.0,30.0
Jag Panzer,Logged In,Tegan,F,34,Levine,200.38485,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Face Of Fear,200,1542280000000.0,80.0
Two Door Cinema Club,Logged In,Tegan,F,35,Levine,189.67465,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,What You Know,200,1542280000000.0,80.0
Little Anthony & The Imperials,Logged In,Tegan,F,36,Levine,127.42485,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Hurt,200,1542280000000.0,80.0
AndrÃÂ©s Cepeda,Logged In,Avery,F,36,Watkins,211.80036,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Me Lleva Tiempo,200,1542280000000.0,30.0
Herb Alpert And The Tijuana Brass,Logged In,Tegan,F,37,Levine,132.80608,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,So What's New,200,1542280000000.0,80.0
Ozma,Logged In,Avery,F,37,Watkins,144.53506000000002,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Flight Of Yuri Gagarin,200,1542280000000.0,30.0
Ozric Tentacles,Logged In,Tegan,F,38,Levine,461.21750999999995,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Mooncalf,200,1542280000000.0,80.0
Evanescence,Logged In,Avery,F,38,Watkins,263.78404,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,My Immortal (Album Version),200,1542280000000.0,30.0
Weezer,Logged In,Avery,F,39,Watkins,232.85506,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Velouria,200,1542280000000.0,30.0
Flying Lotus,Logged In,Jahiem,M,0,Miles,115.33016,free,"San Antonio-New Braunfels, TX",PUT,NextSong,1540820000000.0,369,Bad Actors,200,1542280000000.0,43.0
Ben Folds,Logged In,Tegan,F,39,Levine,250.87955,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Bitches Ain't Shit,200,1542280000000.0,80.0
matchbox twenty,Logged In,Avery,F,40,Watkins,229.14567000000002,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Unwell (Album Version),200,1542280000000.0,30.0
Deftones,Logged In,Tegan,F,40,Levine,189.75302,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Feiticeira (LP Version),200,1542290000000.0,80.0
,Logged In,Chloe,F,0,Cuevas,,paid,"San Francisco-Oakland-Hayward, CA",GET,Home,1540940000000.0,615,,200,1542290000000.0,49.0
,Logged In,Chloe,F,1,Cuevas,,paid,"San Francisco-Oakland-Hayward, CA",PUT,Logout,1540940000000.0,615,,307,1542290000000.0,49.0
,Logged In,Aleena,F,0,Kirby,,paid,"Waterloo-Cedar Falls, IA",GET,Home,1541020000000.0,536,,200,1542290000000.0,44.0
Silverchair,Logged In,Avery,F,41,Watkins,319.13751,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Without You (Album Version),200,1542290000000.0,30.0
Muse,Logged In,Tegan,F,41,Levine,258.06322,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Map Of The Problematique,200,1542290000000.0,80.0
Zen CafÃÂ©,Logged In,Avery,F,42,Watkins,259.02975,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Kotona kaikuu,200,1542290000000.0,30.0
Mariah Carey / Twista,Logged In,Tegan,F,42,Levine,194.7424,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,One And Only,200,1542290000000.0,80.0
,Logged Out,,,2,,,paid,,GET,Home,,615,,200,1542290000000.0,
Strike Anywhere,Logged In,Avery,F,43,Watkins,120.00608000000001,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Gunpowder,200,1542290000000.0,30.0
Tri Sestry,Logged In,Avery,F,44,Watkins,97.72363,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Had Stupid,200,1542290000000.0,30.0
